date,open,high,low,close,volume
2020-01-13,474.5,482.45,474.5,477.65,1229969
2020-01-14,480.6,485.2,479.2,484.25,2160301
2020-01-15,484.0,486.85,479.55,484.0,1413668
2020-01-16,484.0,487.45,479.0,480.25,1694372
2020-01-17,480.0,482.95,476.55,480.3,2039387
2020-01-20,480.45,483.15,476.65,480.15,1206931
2020-01-21,478.95,479.55,472.2,473.4,1448808
2020-01-22,474.5,480.3,470.25,471.6,2380518
2020-01-23,464.5,475.85,459.35,465.15,5783749
2020-01-24,465.0,467.75,456.85,458.85,2713370
2020-01-27,457.5,466.5,454.2,464.45,5849003
2020-01-28,465.0,468.0,458.95,464.7,3592413
2020-01-29,464.7,467.4,460.35,461.55,1737293
2020-01-30,461.0,461.0,446.35,451.0,2766881
2020-01-31,453.95,453.95,442.1,446.9,2184609
2020-02-01,446.5,452.2,437.75,444.2,1632513
2020-02-03,444.0,450.65,439.4,444.55,1690394
2020-02-04,446.7,452.45,444.2,448.45,2030860
2020-02-05,449.55,459.15,437.5,447.55,3637403
2020-02-06,462.5,464.35,435.35,439.65,7118843
2020-02-07,440.0,445.9,437.3,443.2,6386193
2020-02-10,444.2,451.0,442.1,444.75,3557480
2020-02-11,447.1,452.0,443.35,450.6,1889638
2020-02-12,454.95,454.95,445.0,446.8,1683136
2020-02-13,446.8,448.9,440.5,443.4,2041017
2020-02-14,444.0,448.9,441.5,447.1,1814780
2020-02-17,444.5,445.75,430.1,431.9,4581786
2020-02-18,433.0,437.65,428.1,436.0,2453801
2020-02-19,437.8,449.2,437.4,447.5,2359566
2020-02-20,448.0,448.8,434.5,435.75,3048500
2020-02-24,436.0,436.7,426.55,430.15,2569563
2020-02-25,430.2,431.2,420.0,425.8,2438218
2020-02-26,406.0,425.0,405.8,422.2,8068909
2020-02-27,411.1,424.0,409.0,421.2,5109022
2020-02-28,413.0,416.45,398.05,402.1,4200936
2020-03-02,407.0,411.25,394.65,401.95,3460583
2020-03-03,402.0,429.2,402.0,425.3,5476676
2020-03-04,425.6,449.8,420.0,447.65,9297945
2020-03-05,447.85,472.0,437.45,440.6,9637431
2020-03-06,425.0,438.15,423.05,434.4,2916146
2020-03-09,425.0,432.65,423.5,426.15,2986596
2020-03-11,425.0,426.15,410.2,417.1,5314548
2020-03-12,412.5,412.5,390.75,394.75,5636464
2020-03-13,388.0,434.95,355.3,425.55,6096909
2020-03-16,416.0,423.9,392.75,396.4,5394615
2020-03-17,397.0,422.0,390.75,401.75,2989674
2020-03-18,411.8,411.8,381.7,386.0,4200582
2020-03-19,374.8,390.75,362.9,374.7,2926155
2020-03-20,379.8,399.8,372.45,392.8,4718358
2020-03-23,370.0,406.9,370.0,375.25,5507004
2020-03-24,380.0,409.75,372.55,377.45,6652237
2020-03-25,378.0,394.9,374.0,376.45,6419109
2020-03-26,383.0,394.7,380.5,386.15,4291225
2020-03-27,393.0,411.0,391.95,407.65,6471292
2020-03-30,413.8,438.7,407.65,431.75,9021027
2020-03-31,446.0,446.6,420.0,422.85,9434756
2020-04-01,424.9,430.9,410.4,413.75,6329718
2020-04-03,425.0,454.7,416.25,449.2,17906777
2020-04-07,479.0,513.4,452.0,492.25,20843854
2020-04-08,496.95,530.0,490.0,512.75,19456194
2020-04-09,564.0,610.0,564.0,579.6,27207928
2020-04-13,605.0,605.0,583.0,592.85,15483866
2020-04-15,604.45,614.0,578.6,592.35,16213849
2020-04-16,590.0,612.8,582.0,600.45,12716392
2020-04-17,615.0,615.0,595.0,598.0,8304296
2020-04-20,598.0,599.4,580.0,585.4,5856240
2020-04-21,578.0,609.8,570.0,592.1,14471886
2020-04-22,594.9,599.75,585.0,587.2,6182389
2020-04-23,590.0,603.9,579.05,586.7,6277909
2020-04-24,586.4,606.0,583.6,599.3,11127892
2020-04-27,600.0,632.65,600.0,608.7,14089884
2020-04-28,616.8,621.25,593.25,598.6,8193432
2020-04-29,605.0,607.9,590.1,596.25,6767185
2020-04-30,607.9,611.45,586.1,589.6,9100084
2020-05-04,589.0,616.95,580.6,611.85,16816196
2020-05-05,623.05,623.05,595.0,596.9,9257197
2020-05-06,597.5,606.0,590.0,591.75,6979140
2020-05-07,598.0,601.8,587.5,589.55,4620871
2020-05-08,598.0,601.2,589.5,591.9,5051381
2020-05-11,600.95,600.95,583.45,586.05,5853898
2020-05-12,587.0,593.8,566.2,570.15,8868988
2020-05-13,600.0,605.0,568.9,570.2,10438684
2020-05-14,571.0,577.9,566.1,569.75,8546052
2020-05-15,572.0,585.0,565.6,570.3,14388640
2020-05-18,570.6,605.0,570.5,600.45,22898149
